industry,num_firms,average_unlevered_beta,average_levered_beta,average_corr_market,total_unlevered_beta,total_levered_beta,region_id
Oil/Gas (Production and Exploration),964,1.12480407,1.563955131,0.201558565,5.580532239,7.75930872,Global
Oil/Gas Distribution,210,0.899761731,1.530286166,0.319866079,2.812932632,4.784146449,Global
Oilfield Svcs/Equip.,544,0.995634054,1.31383624,0.248355104,4.008913198,5.290151959,Global
Packaging & Container,395,0.57135245,0.732371756,0.192923658,2.961546842,3.796173904,Global
Paper/Forest Products,296,0.642806371,0.923117282,0.204966873,3.136147622,4.503738914,Global
Power,569,0.461696637,0.808640415,0.226344879,2.039792721,3.572603094,Global
Precious Metals,961,1.008244485,1.187269314,0.114518584,8.804199716,10.36748161,Global
Publishing & Newspapers,364,0.788668157,0.907209637,0.200792593,3.92777515,4.518142943,Global
R.E.I.T.,527,0.418801281,0.72215673,0.339590415,1.233254126,2.126552158,Global
Real Estate (Development),746,0.68163578,1.06042062,0.20187339,3.376550919,5.252899453,Global
Real Estate (General/Diversified),420,0.675112642,1.017441881,0.231876025,2.911524132,4.387870117,Global
Real Estate (Operations & Services),606,0.486000947,0.811233803,0.198875485,2.443744872,4.079104084,Global
Recreation,307,0.799305947,0.874685694,0.219424434,3.642739019,3.986272987,Global
Reinsurance,38,0.918559755,0.969198549,0.328200866,2.798773098,2.953065179,Global
Restaurant/Dining,346,0.624959398,0.784177927,0.245459422,2.546080297,3.194735491,Global
Retail (Automotive),163,0.644189855,0.921121188,0.244306192,2.636813457,3.770355473,Global
Retail (Building Supply),50,0.727321552,0.852464115,0.269580518,2.697975201,3.162187391,Global
Retail (Distributors),929,0.572869406,0.89056125,0.212625169,2.694269023,4.188409369,Global
Retail (General),220,0.814798293,1.107174035,0.268233306,3.03764773,4.127653092,Global
Retail (Grocery and Food),163,0.567786532,0.767723409,0.267409996,2.123280882,2.870960026,Global
Retail (Online),190,1.202447465,1.249699548,0.224671769,5.352018506,5.562334572,Global
Retail (Special Lines),505,0.755562491,0.923823927,0.24085224,3.137037425,3.835645984,Global
Rubber& Tires,87,0.915480464,1.059061886,0.255546995,3.582434862,4.144294031,Global
Semiconductor,535,1.284277201,1.356759069,0.281648204,4.559862918,4.817211861,Global
Semiconductor Equip,258,1.232256631,1.240664088,0.265899295,4.634298225,4.665917177,Global
Shipbuilding & Marine,326,0.728332036,1.152782354,0.216491136,3.364258,5.324847822,Global
Shoe,89,0.936710785,0.96638286,0.20871709,4.487944828,4.630108919,Global
Software (Entertainment),120,1.522841491,1.404874553,0.229115934,6.646597921,6.131719119,Global
Software (Internet),830,1.145174172,1.150974071,0.194769086,5.879650595,5.909428928,Global
Software (System & Application),1026,0.972988963,1.057811579,0.208663071,4.662966756,5.069471919,Global
Steel,737,0.73554046,1.146033027,0.217303913,3.384846826,5.273872022,Global
Telecom (Wireless),106,0.70079199,1.024638715,0.251067688,2.791247236,4.081125386,Global
Telecom. Equipment,480,1.082940895,1.162840335,0.216875477,4.993376429,5.361788023,Global
Telecom. Services,297,0.617133885,0.917234664,0.215582837,2.862629944,4.254673873,Global
Tobacco,59,0.634247622,0.706729929,0.173590155,3.65370733,4.071255821,Global
Transportation,221,0.817640422,1.070230587,0.250012538,3.27039767,4.280707662,Global
Transportation (Railroads),49,0.760313918,0.98500896,0.375798334,2.023196617,2.621110502,Global
Trucking,195,0.576156944,0.865362814,0.252663458,2.280333487,3.424962283,Global
Utility (General),57,0.449083978,0.752923267,0.287595611,1.561511932,2.617992898,Global
Utility (Water),96,0.765174449,1.054615661,0.224240389,3.412295404,4.703058471,Global
Total Market,42678,0.673448148,1.010367366,0.21936261,3.070022496,4.605923343,Global
Total Market (without financials),37762,0.822271899,1.047421592,0.21836043,3.765663495,4.796755501,Global
